"crop_genus","crop_specie","crop_common_name","crop_group","crop_subgroup","max_rooting_depth","depletion_fraction","is_avg_depth","initial_kc","mid_kc","end_kc","max_height","is_avg_kc","is_avg_nutrient","nutrient_credits","nutrient_notes","refuse","energy","protein","lipid","vitc","vita_rae","folate","ca","fe","zn","k","cu","na","ph","thiamin","riboflavin","niacin","vitb6","mg","mn","vitb12","percentrefuse","fl","se","vite","pantothenic","vitk"
"Prunus","armeniaca     ","Apricot","Fruit and nuts","Pome fruits and stone fruits",1.5,0.5,FALSE,0.55,0.9,0.6518,"3",FALSE,FALSE,"","","","48","1.4","0.39","10","96","9","13","0.39","0.2","259","0.078","1","23","0.03","0.04","0.6","0.054","10","0.077","0","7","","","","",""
"Prunus","dulcis     ","Almond","Fruit and nuts","Nuts",1.5,0.4,FALSE,0.4,0.9,0.6518,"5",FALSE,FALSE,"","","","579","21.15","49.93","0","0","44","269","3.71","3.12","733","1.031","1","481","0.205","1.138","3.618","0.137","270","2.179","0","60","","","","",""
"Prunus","persica     ","Peach","Fruit and nuts","Pome fruits and stone fruits",1.5,0.5,FALSE,0.55,0.9,0.6518,"3",FALSE,FALSE,"","","","39","0.91","0.25","6.6","16","4","6","0.25","0.17","190","0.068","0","20","0.024","0.031","0.806","0.025","9","0.061","0","4","","","","",""
"Pyrus","communis     ","Pear","Fruit and nuts","Pome fruits and stone fruits",1.5,0.5,FALSE,0.6,0.95,0.7518,"4",FALSE,FALSE,"","","","57","0.36","0.14","4.3","1","7","9","0.18","0.1","116","0.082","1","12","0.012","0.026","0.161","0.029","7","0.048","0","10","","","","",""
"Vitis","vinifera     ","Grapes ","Fruit and nuts","Grapes",1.5,0.35,FALSE,0.3,0.85,0.45,"2",FALSE,FALSE,"","","","67","0.63","0.35","4","5","4","14","0.29","0.04","191","0.04","2","10","0.092","0.057","0.3","0.11","5","0.718","0","42","","","","",""
"Cicer","arietinum     ","Chickpea (gram pea)","Leguminous crops","Legumes",0.8,0.5,FALSE,0.4,1,0.35,"0.4",FALSE,FALSE,"50","","","378","20.47","6.04","4","3","557","57","4.31","2.76","718","0.656","24","252","0.477","0.212","1.541","0.535","79","21.306","0","0","","","","",""
"Lens","culinaris     ","Lentil","Leguminous crops","Legumes",0.7,0.5,FALSE,0.4,1.1,0.3,"0.5",FALSE,FALSE,"40","","","352","24.63","1.06","4.5","2","479","35","6.51","3.27","677","0.754","6","281","0.873","0.211","2.605","0.54","47","1.393","0","0","","","","",""
"Arachis","hypogaea     ","Groundnut (peanut)","Oilseed crops","Temporary oilseed crops",0.75,0.5,FALSE,0.4,1.15,0.6,"0.4",FALSE,FALSE,"80","","","567","25.8","49.24","0","0","240","92","4.58","3.27","705","1.144","18","376","0.64","0.135","12.066","0.348","168","1.934","0","0","","","","",""
"Carthamus","tinctorius     ","Safflower","Oilseed crops","Temporary oilseed crops",1.5,0.6,FALSE,0.35,1.15,0.25,"0.8",FALSE,FALSE,"","","","517","16.18","38.45","0","3","160","78","4.9","5.05","687","1.747","3","644","1.163","0.415","2.284","1.17","353","2.014","0","49","","","","",""
"Glycine","max     ","Soybean","Oilseed crops","Temporary oilseed crops",0.95,0.5,FALSE,0.4,1.15,0.5,"0.7",FALSE,FALSE,"80","","","446","36.49","19.94","6","1","375","277","15.7","4.89","1797","1.658","2","704","0.874","0.87","1.623","0.377","280","2.517","0","0","","","","",""
"Helianthus","annuus     ","Sunflower","Oilseed crops","Temporary oilseed crops",1.5,0.6,FALSE,0.35,1.15,0.25,"0.8",FALSE,FALSE,"","","","584","20.78","51.46","1.4","3","227","78","5.25","5","645","1.8","9","660","1.48","0.355","8.335","1.345","325","1.95","0","46","","","","",""
"Olea","europaea     ","Olive","Oilseed crops","Permanent oilseed crops",1.45,0.65,FALSE,0.65,0.7,0.7,"4",FALSE,FALSE,"","","","115","0.84","10.68","0.9","20","0","88","3.3","0.22","8","0.251","735","3","0.003","0","0.037","0.009","4","0.02","0","0","","","","",""
"Sesamum","indicum     ","Sesame","Oilseed crops","Temporary oilseed crops",1.25,0.6,FALSE,0.35,1.1,0.25,"1",FALSE,FALSE,"","","","631","20.45","61.21","0","3","115","60","6.36","6.73","370","1.4","47","667","0.699","0.09","5.8","0.4","345","1.44","0","0","","","","",""
"Agave","sisalana     ","Sisal","Other crops","Fibre crops",0.75,0.8,FALSE,0.35,0.6,0.6,"1.5",FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gossypium","spp.     ","Cotton (all varieties)","Other crops","Fibre crops",1.35,0.65,FALSE,0.35,1.15,0.6,"1.3",FALSE,FALSE,"","","","506","32.59","36.29","9","22","233","100","5.4","6","1350","1.2","25","800","0.75","0.255","3","0.782","440","2.181","0","0","","","","",""
"Hevea","brasiliensis     ","Rubber","Other crops","Rubber",1.25,0.4,FALSE,0.95,1,1,"10",FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Linum","usitatissimum     ","Flax ","Other crops","Fibre crops",1.25,0.5,FALSE,0.35,1.1,0.25,"1.2",FALSE,FALSE,"","","","534","18.29","42.16","0.6","0","87","255","5.73","4.34","813","1.22","30","642","1.644","0.161","3.08","0.473","392","2.482","0","0","","","","",""
"Ipomoea","batatas     ","Sweet potato","Potatoes and yams","High starch Root/tuber crops",0.5,0.35,FALSE,0.5,1.15,0.754,"0.6",FALSE,FALSE,"","","","86","1.57","0.05","2.4","709","11","30","0.61","0.3","337","0.151","55","47","0.078","0.061","0.557","0.209","25","0.258","0","28","","","","",""
"Manihot","esculenta     ","Cassava (manioc)","Potatoes and yams","High starch Root/tuber crops",0.75,0.38,FALSE,0.3,0.803,0.3,"1",FALSE,FALSE,"","","","160","1.36","0.28","20.6","1","27","16","0.27","0.34","271","0.1","14","27","0.087","0.048","0.854","0.088","21","0.384","0","16","","","","",""
"Solamum","tuberosum     ","Potato","Potatoes and yams","High starch Root/tuber crops",0.5,0.35,FALSE,0.5,1.15,0.754,"0.6",FALSE,FALSE,"","","","79","2.14","0.08","5.7","0","14","13","0.86","0.29","417","0.103","5","55","0.082","0.033","1.035","0.345","23","0.157","0","25","","","","",""
"Saccharum","officinarum     ","Sugarcane","Sugar crops","Sugar crops (other)",1.6,0.65,FALSE,0.4,1.25,0.75,"3",FALSE,FALSE,"","","","399","0","0","","","","12","0.37","0.03","29","0.009","3","1","","","","","2","0.046","","0","","","","",""
"Allium","cepa     ","Onion","Vegetables and melons","Root, bulb, or tuberous vegetables",0.45,0.3,FALSE,1.05,1.05,0.75,"0.4",FALSE,FALSE,"","","","40","1.1","0.1","7.4","0","19","23","0.21","0.17","146","0.039","4","29","0.046","0.027","0.116","0.12","10","0.129","0","10","","","","",""
"Allium","sativum     ","Garlic","Vegetables and melons","Root, bulb, or tuberous vegetables",0.4,0.3,FALSE,0.7,1,0.7,"0.3",FALSE,FALSE,"","","","149","6.36","0.5","31.2","0","3","181","1.7","1.16","401","0.299","17","153","0.2","0.11","0.7","1.235","25","1.672","0","13","","","","",""
"Apium","graveolens     ","Celery","Vegetables and melons","Leafy or stem vegetables",0.4,0.2,FALSE,0.7,1.05,1,"0.6",FALSE,FALSE,"","","","16","0.69","0.17","3.1","22","36","40","0.2","0.13","260","0.035","80","24","0.021","0.057","0.32","0.074","11","0.103","0","11","","","","",""
"Apium","graveolens var. rapaceum   ","Celeriac","Vegetables and melons","Root, bulb, or tuberous vegetables",0.4,0.2,FALSE,0.7,1.05,1,"0.6",FALSE,FALSE,"","","","42","1.5","0.3","8","0","8","43","0.7","0.33","300","0.07","100","115","0.05","0.06","0.7","0.165","20","0.158","0","14","","","","",""
"Asparagus","officinalis     ","Asparagus","Vegetables and melons","Leafy or stem vegetables",1.5,0.45,FALSE,0.5,0.957,0.3,"0.5",FALSE,FALSE,"","","","20","2.2","0.12","5.6","38","52","24","2.14","0.54","202","0.189","2","52","0.143","0.141","0.978","0.091","14","0.158","0","47","","","","",""
"Brassica","chinensis     ","Cabbage, Chinese","Vegetables and melons","Leafy or stem vegetables",0.65,0.45,FALSE,0.7,1.05,0.95,"0.4",FALSE,FALSE,"","","","13","1.5","0.2","45","223","66","105","0.8","0.19","252","0.021","65","37","0.04","0.07","0.5","0.194","19","0.159","0","12","","","","",""
"Brassica","oleracea","Broccoli","Vegetables and melons","Leafy or stem vegetables",0.5,0.45,FALSE,0.7,1.05,0.95,"0.3",FALSE,FALSE,"","","","34","2.82","0.37","89.2","31","63","47","0.73","0.41","316","0.049","33","66","0.071","0.117","0.639","0.175","21","0.21","0","39","","","","",""
"Brassica","oleracea var. botrytis   ","Cauliflower","Vegetables and melons","Leafy or stem vegetables",0.55,0.45,FALSE,0.7,1.05,0.95,"0.4",FALSE,FALSE,"","","","25","1.92","0.28","48.2","0","57","22","0.42","0.27","299","0.039","30","44","0.05","0.06","0.507","0.184","15","0.155","0","61","","","","",""
"Brassica","oleracea var. capitata   ","Cabbage","Vegetables and melons","Leafy or stem vegetables",0.65,0.45,FALSE,0.7,1.05,0.95,"0.4",FALSE,FALSE,"","","","13","1.5","0.2","45","223","66","105","0.8","0.19","252","0.021","65","37","0.04","0.07","0.5","0.194","19","0.159","0","12","","","","",""
"Brassica","oleracea var. gemmifera   ","Brussels sprouts","Vegetables and melons","Leafy or stem vegetables",0.5,0.45,FALSE,0.7,1.05,0.95,"0.4",FALSE,FALSE,"","","","43","3.38","0.3","85","38","61","42","1.4","0.42","389","0.07","25","69","0.139","0.09","0.745","0.219","23","0.337","0","10","","","","",""
"Citrullus","lanatus     ","Watermelon","Vegetables and melons","Fruit-bearing vegetables",1.15,0.4,FALSE,0.4,1,0.75,"0.4",FALSE,FALSE,"","","","30","0.61","0.15","8.1","28","3","7","0.24","0.1","112","0.042","1","11","0.033","0.021","0.178","0.045","10","0.038","0","48","","","","",""
"Cucumis","melo     ","Cantaloupe","Vegetables and melons","Fruit-bearing vegetables",1.2,0.45,FALSE,0.5,0.85,0.6,"0.3",FALSE,FALSE,"","","","34","0.84","0.19","36.7","169","21","9","0.21","0.18","267","0.041","16","15","0.041","0.019","0.734","0.072","12","0.041","0","49","","","","",""
"Cucumis","sativus     ","Cucumber","Vegetables and melons","Fruit-bearing vegetables",0.95,0.5,FALSE,0.6,1,0.8,"0.3",FALSE,FALSE,"","","","15","0.65","0.11","2.8","5","7","16","0.28","0.2","147","0.041","2","24","0.027","0.033","0.098","0.04","13","0.079","0","3","","","","",""
"Cucurbita","spp.     ","Squash","Vegetables and melons","Fruit-bearing vegetables",1.25,0.35,FALSE,0.6,1,0.8,"0.4",FALSE,FALSE,"","","","16","1.21","0.18","17","10","29","15","0.35","0.29","262","0.051","2","38","0.048","0.142","0.487","0.218","17","0.175","0","5","","","","",""
"Cynara","scolymus     ","Artichoke","Vegetables and melons","Leafy or stem vegetables",0.75,0.45,FALSE,0.5,1,0.95,"0.7",FALSE,FALSE,"","","","47","3.27","0.15","11.7","1","68","44","1.28","0.49","370","0.231","94","90","0.072","0.066","1.046","0.116","60","0.256","0","60","","","","",""
"Daucus","carota ssp. sativa   ","Carrot","Vegetables and melons","Root, bulb, or tuberous vegetables",0.75,0.35,FALSE,0.7,1.05,0.95,"0.3",FALSE,FALSE,"","","","41","0.93","0.24","5.9","835","19","33","0.3","0.24","320","0.045","69","35","0.066","0.058","0.983","0.138","12","0.143","0","11","","","","",""
"Helianthus","tuberosus     ","Jerusalem artichoke","Vegetables and melons","Leafy or stem vegetables",0.75,0.45,FALSE,0.5,1,0.95,"0.7",FALSE,FALSE,"","","","73","2","0.01","4","1","13","14","3.4","0.12","429","0.14","4","78","0.2","0.06","1.3","0.077","17","0.06","0","31","","","","",""
"Lactuca","sativa var. capitata   ","Lettuce","Vegetables and melons","Leafy or stem vegetables",0.4,0.3,FALSE,0.7,1,0.95,"0.3",FALSE,FALSE,"","","","13","1.35","0.22","3.7","166","73","35","1.24","0.2","238","0.016","5","33","0.057","0.062","0.357","0.082","13","0.179","0","26","","","","",""
"Lycopersicon","esculentum     ","Tomato","Vegetables and melons","Fruit-bearing vegetables",1.1,0.4,FALSE,0.6,1.152,0.8,"0.6",FALSE,FALSE,"","","","18","0.88","0.2","13.7","42","15","10","0.27","0.17","237","0.059","5","24","0.037","0.019","0.594","0.08","11","0.114","0","9","","","","",""
"Pastinaca","sativa     ","Parsnip","Vegetables and melons","Root, bulb, or tuberous vegetables",0.75,0.4,FALSE,0.5,1.05,0.95,"0.4",FALSE,FALSE,"","","","75","1.2","0.3","17","0","67","36","0.59","0.59","375","0.12","10","71","0.09","0.05","0.7","0.09","29","0.56","0","15","","","","",""
"Raphanus","sativus     ","Radish","Vegetables and melons","Root, bulb, or tuberous vegetables",0.4,0.3,FALSE,0.7,0.9,0.85,"0.3",FALSE,FALSE,"","","","23","1.43","0.25","8","1","60","19","0.57","0.62","302","0.341","22","40","0.016","0.028","0.255","0.057","13","0.138","0","9","","","","",""
"Spinacia","oleracea     ","Spinach","Vegetables and melons","Leafy or stem vegetables",0.4,0.2,FALSE,0.7,1,0.95,"0.3",FALSE,FALSE,"","","","23","2.86","0.39","28.1","469","194","99","2.71","0.53","558","0.13","79","49","0.078","0.189","0.724","0.195","79","0.897","0","28","","","","",""
"Capsicum","spp.     ","Chili (all varieties)","Beverage and spice crops","Temporary spice crops",0.6,0.4,TRUE,0.6,1.15,1.1,"",TRUE,FALSE,"","","","40","1.87","0.44","143.7","48","23","14","1.03","0.26","322","0.129","9","43","0.072","0.086","1.244","0.506","23","0.187","0","27","","","","",""
"Carum","carvi     ","Caraway seeds","Beverage and spice crops","Temporary spice crops",0.6,0.4,TRUE,0.6,1.15,1.1,"",TRUE,FALSE,"","","","333","19.77","14.59","21","18","10","689","16.23","5.5","1351","0.91","17","568","0.383","0.379","3.606","0.36","258","1.3","0","0","","","","",""
"Cinnamomum","verum     ","Cinnamon","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","247","3.99","1.24","3.8","15","6","1002","8.32","1.83","431","0.339","10","64","0.022","0.041","1.332","0.158","60","17.466","0","0","","","","",""
"Elettaria","cardamomum     ","Cardamom","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","311","10.76","6.7","21","0","","383","13.97","7.47","1119","0.383","18","178","0.198","0.182","1.102","0.23","229","28","0","0","","","","",""
"Moringa","oleifera     ","Drumstick tree","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","64","9.4","1.4","51.7","378","40","185","4","0.6","337","0.105","9","112","0.257","0.66","2.22","1.2","147","1.063","0","38","","","","",""
"Myristica","fragrans     ","Mace","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","475","6.71","32.38","21","40","76","252","13.9","2.3","463","2.467","80","110","0.312","0.448","1.35","0.16","163","1.5","0","0","","","","",""
"Myristica","fragrans     ","Nutmeg","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","525","5.84","36.31","3","5","76","184","3.04","2.15","350","1.027","16","213","0.346","0.057","1.299","0.16","183","2.9","0","0","","","","",""
"Pimpinella","anisum     ","Anise seeds","Beverage and spice crops","Temporary spice crops",0.6,0.4,TRUE,0.6,1.15,1.1,"",TRUE,FALSE,"","","","337","17.6","15.9","21","16","10","646","36.96","5.3","1441","0.91","16","440","0.34","0.29","3.06","0.65","170","2.3","0","0","","","","",""
"Piper","nigrum     ","Black pepper","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","27","1.66","0.45","82.7","17","29","14","0.46","0.25","256","0.094","13","32","0.081","0.054","1.242","0.357","17","0.1","0","18","","","","",""
"Vanilla","planifolia     ","Vanilla","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","288","0.06","0.06","0","0","0","11","0.12","0.11","148","0.072","9","6","0.011","0.095","0.425","0.026","12","0.23","0","0","","","","",""
"Zingiber","officinale     ","Ginger","Beverage and spice crops","Permanent spice crops",0.99,0.4,TRUE,0.75,1.04,0.99,"",TRUE,FALSE,"","","","335","8.98","4.24","0.7","2","13","114","19.8","3.64","1320","0.48","27","168","0.046","0.17","9.62","0.626","214","33.3","0","0","","","","",""
"Chenopodium","quinoa     ","Quinoa","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"",TRUE,FALSE,"","","","368","14.12","6.07","","1","184","47","4.57","3.1","563","0.59","5","457","0.36","0.318","1.52","0.487","197","2.033","0","0","","","","",""
"Eragrostis","abyssinica     ","Tef","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"",TRUE,FALSE,"","","","367","13.3","2.38","","0","","180","7.63","3.63","427","0.81","12","429","0.39","0.27","3.363","0.482","184","9.24","","0","","","","",""
"Fagopyrum","esculentum     ","Buckwheat","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"1",TRUE,FALSE,"","","","343","13.25","3.4","0","0","30","18","2.2","2.4","460","1.1","1","347","0.101","0.425","7.02","0.21","231","1.3","0","0","","","","",""
"Triticum","durum     ","Durum wheat","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"1",TRUE,FALSE,"","","","339","13.68","2.47","0","0","43","34","3.52","4.16","431","0.553","2","508","0.419","0.121","6.738","0.419","144","3.012","0","0","","","","",""
"Zea","mays     ","Maize (grain)","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"",TRUE,FALSE,"","","","365","9.42","4.74","0","11","19","7","2.71","2.21","287","0.314","35","210","0.385","0.201","3.627","0.622","127","0.485","0","0","","","","",""
"Zea","mays     ","Maize (sweet corn)","Cereals","Cereals",1.303333333,0.5072,TRUE,0.443333333,1.073333333,0.433333333,"",TRUE,FALSE,"","","","86","3.27","1.35","6.8","9","42","2","0.52","0.46","270","0.054","15","89","0.155","0.055","1.77","0.093","37","0.163","0","64","","","","",""
"Achras","sapota     ","Sapodilla","Fruit and nuts","Other fruits",1.171875,0.45,TRUE,0.509375,0.865625,0.6536875,"",TRUE,FALSE,"","","","83","0.44","1.1","14.7","3","14","21","0.8","0.1","193","0.086","12","12","0","0.02","0.2","0.037","12","","0","20","","","","",""
