disease_common_name,disease_sci_name,crop_genus,crop_specie
Nematode,Nematoda,Cucurbita,spp.  
Nematode,Nematoda,Cucurbita,pepo  
Nitrogen Deficiency in Cucurbits,Nitrogen Deficiency,Cucurbita,spp.  
Nitrogen Deficiency in Cucurbits,Nitrogen Deficiency,Cucurbita,pepo  
Pesticide Burn,Pesticide Burn,Cucurbita,spp.  
Pesticide Burn,Pesticide Burn,Cucurbita,pepo  
Potassium Deficiency in Cucurbits,Potassium Deficiency,Cucurbita,spp.  
Potassium Deficiency in Cucurbits,Potassium Deficiency,Cucurbita,pepo  
Powdery Mildew,Erysiphaceae,Cucurbita,spp.  
Powdery Mildew,Erysiphaceae,Cucurbita,pepo  
Ring Spot Virus,PRSV,Cucurbita,pepo  
Sclerotium Rot,Athelia rolfsii,Cucurbita,spp.  
Slug,Class Gastropoda,Cucurbita,spp.  
Slug,Class Gastropoda,Cucurbita,pepo  
Thrips,Order Thysanoptera,Cucurbita,spp.  
Thrips,Order Thysanoptera,Cucurbita,pepo  
Verticillium Wilt,Verticillium spp.,Cucurbita,spp.  
Verticillium Wilt,Verticillium spp.,Cucurbita,pepo  
